ED,Median earned income per commuter travelling less than 30 minutes (Euro) by Electoral Division and Year,Median earned income per commuter travelling greater than 30 minutes,"Agriculture, Forestry and Fishing (A) (%)",Construction (F) (%),"Financial, Real Estate, Administrative and Services (K,L,N,S) (%)","ICT, Scientific and Recreation (J,M,R) (%)","Industry (B,C,D,E) (%)","Public Service, Education and Health (O,P,Q) (%)","Wholesale, Transport and Accomodation (G,H,I) (%)",Proportion of households working age social welfare was majority of household income (%) by Electoral Division and Year
"147 South Dock, Dublin City",51303.00,42402.00,0.10,0.80,22.90,52.20,3.10,13.40,7.50,6.80
"148 Terenure A, Dublin City",39407.00,40246.00,0.30,2.00,19.10,28.00,4.50,33.20,12.90,6.60
"149 Terenure B, Dublin City",42322.00,45648.00,0.30,2.20,18.60,28.50,5.00,34.10,11.30,7.50
"150 Terenure C, Dublin City",46163.00,59548.00,0.10,2.40,22.90,24.70,5.30,30.10,14.40,2.90
"151 Terenure D, Dublin City",40421.00,55710.00,NA,4.00,24.60,29.80,6.00,24.10,11.50,2.20
"152 Ushers A, Dublin City",41647.00,39999.00,0.10,1.20,19.00,36.70,3.50,27.30,12.20,7.70
"153 Ushers B, Dublin City",26199.00,31510.00,0.90,3.00,21.60,25.70,4.10,25.80,18.90,20.20
"154 Ushers C, Dublin City",28168.00,29752.00,0.50,2.70,22.10,21.70,4.20,27.30,21.50,25.40
"155 Ushers D, Dublin City",31168.00,28107.00,0.20,3.00,19.20,23.70,3.40,34.50,16.00,19.70
"156 Ushers E, Dublin City",30440.00,33038.00,0.10,2.70,23.30,19.40,4.00,33.60,16.90,26.40
"157 Ushers F, Dublin City",44081.00,46549.00,NA,1.40,16.60,26.70,3.90,40.60,10.90,12.20
"158 Walkinstown A, Dublin City",32789.00,35674.00,0.10,3.60,15.90,17.20,7.70,35.60,19.90,15.20
"159 Walkinstown B, Dublin City",33132.00,35780.00,0.70,5.10,17.90,17.50,7.80,28.00,22.80,11.10
"160 Walkinstown C, Dublin City",33582.00,34443.00,NA,6.50,17.70,15.70,10.10,26.70,23.30,11.80
"161 Wood Quay A, Dublin City",26108.00,29637.00,0.70,3.60,18.40,24.20,3.60,27.40,22.00,29.30
"162 Wood Quay B, Dublin City",36110.00,34568.00,0.50,1.60,19.10,36.20,2.90,26.80,12.80,11.10
"001 Ballinascorney, South Dublin",29369.00,35008.00,2.20,8.60,16.70,14.80,9.60,23.70,24.40,17.90
"002 Ballyboden, South Dublin",40547.00,45057.00,0.40,3.60,20.70,22.10,6.60,29.70,16.90,3.40
