ED,Median earned income per commuter travelling less than 30 minutes (Euro) by Electoral Division and Year,Median earned income per commuter travelling greater than 30 minutes,"Agriculture, Forestry and Fishing (A) (%)",Construction (F) (%),"Financial, Real Estate, Administrative and Services (K,L,N,S) (%)","ICT, Scientific and Recreation (J,M,R) (%)","Industry (B,C,D,E) (%)","Public Service, Education and Health (O,P,Q) (%)","Wholesale, Transport and Accomodation (G,H,I) (%)",Proportion of households working age social welfare was majority of household income (%) by Electoral Division and Year
"001 Athlone East Urban, Co. Westmeath",25367.00,37309.00,0.90,1.90,8.70,16.40,9.90,23.40,38.90,20.60
"002 Athlone West Urban, Co. Westmeath",24079.00,35940.00,0.90,3.00,11.80,14.90,9.00,26.80,33.60,25.50
"003 Athlone East Rural (Part Urban), Co. Westmeath",27839.00,38144.00,0.90,2.40,8.20,13.70,13.40,32.60,28.80,21.10
"004 Auburn, Co. Westmeath",34484.00,36969.00,5.20,5.90,6.30,15.20,14.70,33.30,19.50,6.10
"005 Ballybroder, Co. Westmeath",23920.00,48900.00,13.40,11.50,15.00,9.00,8.50,20.60,22.10,4.20
"006 Bellanalack, Co. Westmeath",29720.00,42888.00,7.00,8.10,9.30,10.50,10.60,36.70,17.80,8.70
"007 Carn, Co. Westmeath",30000.00,44472.00,5.10,4.30,12.00,12.90,14.00,28.30,23.50,6.30
"008 Castledaly, Co. Westmeath",30749.00,48437.00,6.00,8.90,8.10,6.80,12.00,33.70,24.50,10.70
"009 Glassan, Co. Westmeath",37210.00,54831.00,3.30,3.90,9.90,8.70,12.50,39.30,22.30,5.80
"010 Kilcumreragh, Co. Westmeath",28679.00,35040.00,9.00,15.90,11.70,10.70,13.00,27.20,12.50,7.30
"011 Killinure, Co. Westmeath",34330.00,42954.00,6.20,6.00,8.90,9.40,13.40,32.20,23.80,9.50
"012 Moate, Co. Westmeath",27791.00,42970.00,2.10,4.60,11.30,11.00,11.90,35.90,23.10,18.60
"013 Mount Temple, Co. Westmeath",30956.00,52053.00,7.10,5.50,8.20,16.80,11.20,29.00,22.30,7.20
"014 Moydrum (Part Urban), Co. Westmeath",35267.00,50415.00,1.20,2.80,7.70,11.70,13.70,37.00,26.00,7.10
"015 Muckanagh, Co. Westmeath",34129.00,32004.00,11.60,7.60,7.70,10.10,15.20,29.20,18.70,12.50
"016 Tubbrit, Co. Westmeath",31229.00,41769.00,7.50,5.00,8.60,11.00,12.00,34.00,22.00,7.50
"017 Umma, Co. Westmeath",30858.00,40212.00,11.00,10.00,9.60,9.40,12.70,25.70,21.50,5.40
"018 Ardnagragh, Co. Westmeath",25948.00,34676.00,14.20,6.10,13.60,8.40,13.80,22.80,21.00,4.70
"019 Ballymore, Co. Westmeath",28042.00,40842.00,6.80,7.10,13.50,8.50,9.20,32.30,22.50,18.10
"020 Doonis, Co. Westmeath",31671.00,50728.00,11.60,6.80,12.60,6.30,11.30,36.40,15.10,7.10
"021 Drumraney, Co. Westmeath",29132.00,40472.00,10.50,5.40,11.60,7.70,23.30,21.30,20.30,13.10
"022 Noughaval, Co. Westmeath",33661.00,38946.00,9.90,6.80,8.50,8.70,13.10,33.20,19.80,8.30
"023 Piercetown, Co. Westmeath",NA,NA,20.30,3.50,11.80,9.00,9.30,33.90,12.30,7.90
"024 Templepatrick, Co. Westmeath",29313.00,44430.00,14.30,8.70,9.90,10.20,8.90,28.60,19.30,10.00
"025 Winetown, Co. Westmeath",NA,NA,19.10,13.50,12.60,3.90,8.30,29.40,13.20,11.10
"026 Boherquill, Co. Westmeath",24377.00,37667.00,9.20,10.60,11.70,3.40,24.90,24.10,16.20,18.90
"027 Coole, Co. Westmeath",33415.00,34267.00,8.90,14.80,11.20,5.20,17.20,28.50,14.20,14.00
"028 Coolure, Co. Westmeath",26277.00,35115.00,13.10,12.30,11.90,7.90,13.70,24.90,16.30,14.00
"029 Finnea, Co. Westmeath",20485.00,37184.00,10.10,10.30,12.80,2.10,26.10,23.90,14.60,15.80
"030 Glore, Co. Westmeath",22740.00,35847.00,14.60,15.30,14.80,8.50,15.80,24.50,6.40,9.40
"031 Knockarrow, Co. Westmeath",NA,NA,22.90,NA,14.10,10.40,8.30,24.80,19.30,15.90
"032 Rathowen, Co. Westmeath",22441.00,31573.00,6.40,12.40,11.20,7.10,20.50,24.70,17.80,22.60
"033 Street, Co. Westmeath",27109.00,37862.00,14.20,5.90,8.90,10.60,15.10,30.20,15.20,15.70
"034 Ballinlough, Co. Westmeath",23447.00,40769.00,18.60,11.10,12.90,12.90,4.30,24.00,16.10,5.40
"035 Ballyhealy, Co. Westmeath",22968.00,41156.00,11.30,4.90,17.90,6.70,14.80,25.70,18.70,16.80
"036 Ballynaskeagh, Co. Westmeath",24339.00,43540.00,12.00,12.10,12.40,9.80,17.10,22.50,14.10,12.10
"037 Bracklin, Co. Westmeath",31880.00,43501.00,9.50,12.20,6.80,9.60,12.30,32.70,16.80,9.10
"038 Clonarney, Co. Westmeath",30839.00,37084.00,7.90,12.30,7.40,8.70,13.60,32.90,17.10,13.80
"039 Collinstown, Co. Westmeath",29343.00,38280.00,7.10,7.70,10.90,12.00,22.50,28.10,11.60,21.50
"040 Copperalley, Co. Westmeath",31835.00,41686.00,13.40,9.70,9.70,9.10,17.40,22.80,18.00,14.00
"041 Delvin, Co. Westmeath",28037.00,39451.00,4.90,6.40,10.20,10.40,14.80,37.70,15.70,24.70
"042 Faughalstown, Co. Westmeath",23111.00,31078.00,9.60,10.30,13.20,1.10,12.10,30.00,23.50,3.70
"043 Fore East, Co. Westmeath",29414.00,36538.00,5.80,9.50,15.30,10.30,18.60,28.60,11.90,10.20
"044 Fore West, Co. Westmeath",32050.00,46326.00,5.80,9.50,9.20,10.10,18.50,37.00,9.70,12.60
"045 Hilltown, Co. Westmeath",31249.00,49636.00,17.40,4.60,10.90,10.80,21.40,17.50,17.40,8.20
"046 Kilcumny, Co. Westmeath",28492.00,35880.00,12.70,8.40,7.20,8.90,20.00,28.90,13.80,17.50
"047 Killua, Co. Westmeath",23314.00,39005.00,3.80,9.80,10.90,12.60,15.40,28.00,19.50,10.40
"048 Killulagh, Co. Westmeath",31097.00,37639.00,11.30,10.70,10.90,9.60,9.80,32.50,15.30,11.50
"049 Kilpatrick, Co. Westmeath",30981.00,41040.00,13.60,8.30,12.50,10.10,15.60,24.50,15.30,1.40
"050 Kinturk, Co. Westmeath",26639.00,35089.00,4.80,7.90,7.60,7.20,19.40,33.70,19.40,19.90
"051 Riverdale, Co. Westmeath",30635.00,45011.00,6.00,9.40,13.10,8.70,14.90,27.30,20.60,14.10
"052 Rosmead, Co. Westmeath",29349.00,33550.00,10.20,11.80,11.80,7.70,15.20,24.60,18.70,16.50
"053 Ardnaglew, Co. Westmeath",27635.00,46717.00,8.40,5.80,13.20,12.60,19.20,27.70,13.20,3.40
999 Ballinalack / Lackan,30767.00,37616.00,9.00,9.00,10.50,10.00,5.70,39.90,15.90,10.60
"055 Ballykilmore, Co. Westmeath",26679.00,42711.00,4.60,8.70,10.00,9.60,18.80,28.40,20.00,15.10
"056 Ballymorin, Co. Westmeath",31682.00,44708.00,10.20,3.30,11.60,8.50,9.70,40.30,16.40,7.70
"057 Ballynagore, Co. Westmeath",30140.00,39821.00,9.50,9.10,7.80,12.10,12.60,33.50,15.40,10.30
"058 Belvidere, Co. Westmeath",29717.00,42083.00,6.00,7.50,10.40,12.80,11.70,37.80,13.80,6.20
"059 Carrick, Co. Westmeath",31709.00,47896.00,5.50,6.90,11.70,8.80,12.10,37.10,17.90,5.30
"060 Castle, Co. Westmeath",38735.00,56117.00,2.70,4.70,13.10,9.90,14.80,41.00,13.90,7.90
"061 Castlelost, Co. Westmeath",22074.00,37870.00,5.90,6.70,12.80,6.30,17.60,29.80,21.10,21.40
"062 Castletown, Co. Westmeath",27856.00,39653.00,13.10,10.20,8.40,9.30,9.20,36.50,13.40,11.60
"063 Churchtown, Co. Westmeath",33608.00,51586.00,8.90,15.00,8.30,4.70,10.70,40.80,11.60,7.80
"064 Cloghan, Co. Westmeath",28625.00,44353.00,6.70,13.10,10.70,14.60,7.10,28.90,18.90,8.80
"065 Clonfad, Co. Westmeath",26253.00,45714.00,4.90,7.50,14.00,8.50,17.10,27.00,20.90,13.10
"066 Clonlost, Co. Westmeath",29235.00,40358.00,11.50,8.40,8.90,12.10,12.20,33.70,13.20,14.60
"067 Derrymore, Co. Westmeath",34024.00,47653.00,10.00,11.70,10.20,5.30,15.20,26.30,21.30,5.40
"068 Dysart, Co. Westmeath",23669.00,41889.00,10.10,10.50,5.60,10.20,14.80,29.30,19.50,3.70
"069 Emper, Co. Westmeath",38797.00,36809.00,16.10,8.90,9.90,3.50,13.10,34.10,14.40,12.20
"070 Enniscoffey, Co. Westmeath",32056.00,46148.00,6.60,6.40,12.90,9.20,13.00,37.60,14.20,11.50
"071 Gaybrook, Co. Westmeath",29574.00,39560.00,4.90,8.30,9.80,14.20,13.70,28.40,20.70,4.70
"072 Glenlough, Co. Westmeath",21485.00,39236.00,13.90,11.70,13.60,4.20,16.40,22.50,17.80,7.40
"073 Greenpark, Co. Westmeath",28165.00,51571.00,11.90,9.70,11.50,11.30,11.30,29.60,14.70,7.80
"074 Griffinstown, Co. Westmeath",28441.00,46036.00,11.00,7.90,9.70,9.70,18.80,26.80,16.00,6.30
"075 Heathstown, Co. Westmeath",34187.00,45834.00,4.30,9.40,10.30,7.30,19.60,34.50,14.60,9.60
"076 Hopestown, Co. Westmeath",33188.00,43999.00,5.80,12.20,13.80,11.50,7.40,34.10,15.20,7.40
"077 Huntingdon, Co. Westmeath",28198.00,36677.00,9.50,9.70,14.30,8.00,13.40,29.90,15.00,15.80
"078 Jamestown, Co. Westmeath",NA,NA,13.90,9.90,8.40,17.70,7.70,26.10,16.40,12.80
"079 Kilbeggan, Co. Westmeath",26073.00,39773.00,4.20,6.40,8.20,8.30,24.40,28.10,20.30,17.80
"080 Kilbixy, Co. Westmeath",25587.00,29430.00,9.80,9.40,10.20,8.00,9.70,37.60,15.20,22.20
"081 Killare, Co. Westmeath",24771.00,41322.00,11.90,13.10,8.20,10.80,15.30,26.70,14.00,9.30
"082 Killucan, Co. Westmeath",24102.00,42719.00,4.10,10.30,13.10,8.50,13.70,27.20,23.20,14.90
"083 Kinnegad, Co. Westmeath",23236.00,37527.00,1.20,8.20,12.90,10.60,12.80,28.00,26.20,19.20
"084 Knockdrin, Co. Westmeath",32269.00,41575.00,4.80,7.20,15.70,8.30,11.40,37.20,15.40,7.00
"086 Lauree, Co. Westmeath",30577.00,50785.00,13.80,11.10,8.90,2.60,14.60,27.90,21.10,11.30
"087 Middleton, Co. Westmeath",32838.00,43102.00,7.20,12.00,11.80,11.10,13.50,31.30,13.20,10.70
"088 Milltown, Co. Westmeath",21720.00,45890.00,8.00,13.70,11.40,9.10,16.20,22.80,18.80,20.90
"089 Mullingar Rural, Co. Westmeath",27732.00,42935.00,1.00,5.10,11.10,9.30,13.90,38.90,20.70,14.70
"090 Mullingar North Urban, Co. Westmeath",22233.00,35243.00,1.40,5.50,11.80,8.10,14.90,34.30,24.00,33.10
"091 Mullingar South Urban, Co. Westmeath",26859.00,44470.00,1.70,4.70,10.70,10.50,13.70,39.00,19.70,16.60
"092 Multyfarnham, Co. Westmeath",25910.00,54903.00,9.60,3.00,9.80,10.20,15.60,35.10,16.60,9.80
"093 Newtown, Co. Westmeath",29744.00,50469.00,12.60,9.00,13.70,4.60,8.90,31.90,19.30,7.90
"094 Owel, Co. Westmeath",34579.00,43626.00,5.20,8.70,9.00,6.90,14.10,35.30,20.70,4.40
"095 Portloman, Co. Westmeath",30251.00,31106.00,12.20,5.00,12.80,8.70,12.80,32.50,16.00,6.50
"096 Raharney, Co. Westmeath",24924.00,41899.00,5.60,10.80,8.80,8.50,18.40,31.20,16.70,19.40
"097 Rahugh, Co. Westmeath",26443.00,51440.00,15.20,8.70,7.50,6.60,21.40,27.80,12.80,8.00
"098 Rathconrath, Co. Westmeath",26462.00,45424.00,9.90,6.30,11.10,5.40,8.30,36.20,22.80,6.50
"099 Russellstown, Co. Westmeath",30651.00,42331.00,4.20,9.50,9.30,9.60,9.60,40.60,17.10,5.80
"100 Skeagh, Co. Westmeath",NA,NA,9.70,12.10,8.80,9.30,7.70,39.20,13.20,9.10
"101 Sonna, Co. Westmeath",26307.00,37086.00,9.90,11.10,12.80,6.10,10.70,35.00,14.30,16.50
"102 Stonehall, Co. Westmeath",NA,NA,7.80,8.00,11.70,11.20,15.60,33.00,12.60,11.40
"103 Streamstown, Co. Westmeath",26828.00,36579.00,13.90,12.50,10.50,11.60,11.10,25.80,14.60,18.90
"104 Taghmon, Co. Westmeath",26986.00,41025.00,8.80,7.10,8.70,7.30,13.60,33.30,21.20,8.80
"105 Tullaghan, Co. Westmeath",30537.00,36274.00,9.20,6.50,10.50,10.20,13.10,33.90,16.70,3.10
"106 Woodland, Co. Westmeath",25918.00,43826.00,8.20,7.00,9.60,11.00,11.10,35.30,17.80,7.70
"001 Enniscorthy Urban, Co. Wexford",20128.00,29713.00,5.40,7.30,10.90,8.40,16.20,27.20,24.60,32.40
"002 New Ross Urban, Co. Wexford",22370.00,30501.00,1.60,7.50,12.80,8.60,19.00,25.40,25.10,27.70
"003 Rosbercon Urban, Co. Wexford",21333.00,32468.00,4.90,5.30,12.20,12.00,22.70,17.90,24.90,29.70
"004 Wexford No. 1 Urban, Co. Wexford",23993.00,31461.00,1.90,5.20,16.90,10.50,13.40,29.50,22.60,24.30
"005 Wexford No. 2 Urban, Co. Wexford",22196.00,28254.00,1.50,5.00,17.10,7.20,15.30,27.30,26.60,23.80
"006 Wexford No. 3 Urban, Co. Wexford",22230.00,24485.00,2.40,3.70,16.80,8.70,10.60,29.40,28.30,28.60
"007 Ballindaggan, Co. Wexford",29040.00,36529.00,7.10,8.20,9.90,8.20,15.30,33.70,17.70,18.00
"008 Ballycarney, Co. Wexford",26644.00,36087.00,12.80,3.80,12.00,15.80,14.80,24.40,16.40,8.10
"009 Ballyhoge, Co. Wexford",27113.00,43266.00,9.90,8.60,12.80,8.60,13.50,26.20,20.40,15.70
"010 Ballyhuskard, Co. Wexford",29792.00,41693.00,6.20,8.10,9.20,8.50,11.20,39.60,17.10,16.90
"011 Ballymore, Co. Wexford",24760.00,31961.00,11.30,8.90,13.70,12.20,11.30,22.40,20.20,13.60
"012 Ballyvaldon, Co. Wexford",27490.00,32863.00,10.00,7.20,11.80,9.10,11.00,37.20,13.70,13.40
"013 Bolaboy, Co. Wexford",29099.00,36363.00,7.00,7.30,14.00,9.30,8.30,33.60,20.40,20.00
"014 Bree, Co. Wexford",32860.00,42494.00,7.60,7.50,11.70,11.30,11.00,34.70,16.20,11.50
"015 Castleboro, Co. Wexford",28139.00,41032.00,9.40,5.90,14.70,8.50,13.10,30.20,18.30,11.70
"016 Castledockrell, Co. Wexford",27184.00,29610.00,10.80,9.90,9.70,11.20,15.50,22.60,20.20,15.20
"017 Castle Ellis, Co. Wexford",28274.00,34451.00,7.90,7.90,12.00,9.90,9.00,37.20,16.10,12.40
"018 Castle Talbot, Co. Wexford",22909.00,34901.00,12.50,9.30,12.20,12.80,6.70,27.20,19.10,17.00
"019 Clonroche, Co. Wexford",24658.00,34122.00,10.10,8.60,11.20,9.20,13.90,23.20,23.80,22.20
"020 Edermine, Co. Wexford",27036.00,40833.00,5.60,5.90,11.30,7.90,15.30,34.20,19.80,15.30
"021 Enniscorthy Rural (Part Urban), Co. Wexford",23724.00,35823.00,2.00,7.40,10.80,8.20,16.80,33.50,21.30,25.70
"022 Ferns, Co. Wexford",20997.00,28786.00,4.20,7.20,14.00,9.60,14.20,28.70,22.10,22.80
"023 Kilbora, Co. Wexford",27295.00,41691.00,10.70,8.40,8.40,13.30,9.80,31.00,18.40,12.80
"024 Kilcormick, Co. Wexford",23683.00,37181.00,10.60,10.00,12.10,10.80,9.70,29.90,16.90,14.50
"025 Killann, Co. Wexford",27136.00,37516.00,12.40,7.10,9.60,8.10,13.30,31.30,18.10,10.20
"026 Kilmallock, Co. Wexford",29678.00,33026.00,6.50,7.80,12.40,10.60,15.10,28.80,18.80,11.90
"027 Killoughrum, Co. Wexford",24058.00,43917.00,7.90,7.10,10.80,14.80,12.20,25.00,22.20,10.10
"028 Kilrush, Co. Wexford",27139.00,34000.00,13.80,9.90,11.40,7.50,13.80,26.50,17.10,11.70
"029 Kiltealy, Co. Wexford",24274.00,38761.00,10.30,6.80,7.50,9.80,12.00,37.30,16.40,11.90
"030 Marshalstown, Co. Wexford",27738.00,37744.00,9.50,10.40,7.40,7.90,14.30,32.20,18.20,15.40
"031 Moyacomb, Co. Wexford",29694.00,46015.00,10.40,10.00,6.50,11.90,11.30,40.20,9.80,8.60
"032 Newtownbarry, Co. Wexford",22618.00,33947.00,5.60,9.90,12.20,10.00,21.70,23.10,17.50,21.40
"033 Rossard, Co. Wexford",20809.00,37409.00,14.60,10.70,8.10,10.40,9.30,34.70,12.10,8.40
"034 St. Mary's, Co. Wexford",25542.00,35463.00,8.70,13.10,11.90,9.80,10.90,28.70,17.00,11.00
"035 The Harrow, Co. Wexford",25217.00,38553.00,8.80,8.60,10.70,12.40,12.20,30.90,16.50,11.50
"036 The Leap, Co. Wexford",27062.00,39826.00,10.50,8.20,10.30,8.20,10.30,33.20,19.30,13.30
"037 Tinnacross, Co. Wexford",27311.00,33265.00,8.10,8.70,11.20,10.80,10.10,29.70,21.40,14.00
"038 Tombrack, Co. Wexford",27213.00,34507.00,11.10,7.60,7.60,13.70,12.30,28.10,19.50,13.20
"039 Ardamine, Co. Wexford",21253.00,35968.00,3.20,6.50,14.40,11.20,14.20,23.80,26.80,24.70
"040 Balloughter, Co. Wexford",24335.00,46285.00,12.20,6.20,10.10,12.90,8.90,24.20,25.50,12.80
"041 Ballybeg, Co. Wexford",26525.00,34582.00,12.00,11.30,13.30,10.40,8.40,24.60,20.00,11.30
"042 Ballycanew, Co. Wexford",20944.00,35494.00,8.40,8.80,11.30,10.50,13.30,26.70,20.90,21.30
"043 Ballyellis, Co. Wexford",28501.00,45142.00,10.60,11.80,13.60,16.40,9.60,26.50,11.60,14.60
"044 Ballygarrett, Co. Wexford",20928.00,37053.00,8.00,10.90,11.70,7.20,8.60,29.30,24.20,19.40
"045 Ballylarkin, Co. Wexford",25107.00,36000.00,7.30,7.10,14.50,13.70,11.30,28.80,17.30,13.10
"046 Ballynestragh, Co. Wexford",29068.00,46700.00,7.10,8.20,11.20,13.70,10.90,30.90,18.10,9.20
"047 Cahore, Co. Wexford",23266.00,37547.00,12.70,12.20,10.40,16.60,8.90,21.60,17.50,11.80
"048 Coolgreany, Co. Wexford",23501.00,38759.00,7.20,7.80,13.70,11.60,13.60,25.70,20.40,13.10
"049 Courtown, Co. Wexford",25452.00,43129.00,5.00,7.80,14.60,13.70,10.60,28.60,19.80,14.70
"050 Ford, Co. Wexford",19779.00,38151.00,9.40,8.30,8.30,8.60,8.00,34.30,23.20,18.70
"051 Gorey Rural, Co. Wexford",22781.00,38745.00,2.30,5.30,12.60,11.00,16.40,26.70,25.70,19.30
"052 Gorey Urban, Co. Wexford",22365.00,38004.00,1.40,4.50,14.70,9.60,16.10,28.30,25.50,22.20
"053 Huntingtown, Co. Wexford",27560.00,39182.00,19.30,6.80,7.60,10.40,10.50,24.00,21.50,7.80
"054 Kilcomb, Co. Wexford",25055.00,42050.00,6.20,6.20,11.60,11.10,15.70,28.90,20.40,17.70
"055 Kilgorman, Co. Wexford",25974.00,46074.00,7.50,5.50,15.50,11.40,10.00,28.60,21.60,12.50
"056 Killenagh, Co. Wexford",27880.00,42176.00,11.50,7.80,13.00,14.70,10.10,23.90,19.00,14.20
"057 Killincooly, Co. Wexford",19161.00,33043.00,7.50,11.80,12.60,9.40,11.80,20.70,26.30,25.10
"058 Kilnahue, Co. Wexford",26636.00,39999.00,12.20,6.90,18.90,8.90,12.00,22.80,18.30,8.80
"059 Limerick, Co. Wexford",26257.00,37656.00,8.70,5.50,13.50,14.80,10.70,28.70,18.10,11.20
"060 Monamolin, Co. Wexford",23254.00,35807.00,8.60,8.20,12.50,13.10,8.60,33.20,15.80,13.70
"061 Monaseed, Co. Wexford",27591.00,36137.00,12.40,6.50,11.70,12.40,11.00,30.60,15.30,8.30
"062 Rossminoge, Co. Wexford",26499.00,33441.00,12.50,13.20,10.20,12.70,11.50,20.80,19.00,11.90
"063 Wells, Co. Wexford",22743.00,28349.00,12.10,9.90,10.00,9.40,7.10,26.40,25.10,11.80
"064 Wingfield, Co. Wexford",24867.00,37307.00,8.40,9.40,13.30,12.60,10.30,26.00,20.00,13.70
"065 Adamstown, Co. Wexford",25084.00,35880.00,14.70,9.30,10.80,12.80,14.90,24.30,13.20,20.50
"066 Ballyanne, Co. Wexford",26400.00,40304.00,11.30,11.60,9.10,5.10,15.40,27.00,20.50,14.70
"067 Ballyhack, Co. Wexford",24184.00,34773.00,11.30,10.80,8.50,7.90,13.30,25.60,22.60,13.80
"068 Barrack Village, Co. Wexford",NA,NA,25.80,11.40,11.20,2.30,13.10,16.40,19.80,10.00
"069 Barronstown, Co. Wexford",29311.00,33864.00,13.40,7.20,8.80,9.20,18.50,28.50,14.30,8.50
"070 Carnagh, Co. Wexford",26558.00,40082.00,8.20,13.50,11.20,11.30,15.60,23.80,16.40,12.00
"071 Carrickbyrne, Co. Wexford",26794.00,39095.00,11.50,5.70,10.90,11.50,13.20,27.20,20.00,15.30
"072 Clongeen, Co. Wexford",22560.00,33666.00,10.70,12.80,10.40,7.00,15.20,22.30,21.60,19.90
"073 Clonleigh, Co. Wexford",23776.00,38766.00,11.20,12.70,11.60,13.70,10.20,22.90,17.60,5.90
"074 Dunmain, Co. Wexford",31776.00,34210.00,9.80,7.50,18.40,7.90,15.40,24.30,16.70,12.90
"075 Fethard, Co. Wexford",20766.00,35795.00,8.90,10.00,12.70,12.70,13.10,23.00,19.60,14.40
"076 Horetown, Co. Wexford",26445.00,38896.00,7.40,11.50,9.60,8.90,15.50,27.40,19.70,10.50
"077 Inch, Co. Wexford",22403.00,33894.00,9.10,12.60,10.20,8.70,13.70,30.20,15.50,14.20
"078 Kilgarvan, Co. Wexford",29120.00,45837.00,7.80,10.60,13.00,9.70,18.50,23.90,16.50,8.90
"079 Killesk, Co. Wexford",23886.00,37125.00,8.80,9.50,10.70,7.00,17.60,28.10,18.30,16.00
"080 Kilmokea, Co. Wexford",22519.00,36498.00,10.30,13.70,14.10,8.30,14.80,23.60,15.20,22.10
"081 Newbawn, Co. Wexford",27662.00,24429.00,11.10,12.50,10.70,10.10,14.90,22.90,17.90,17.30
"082 New Ross Rural, Co. Wexford",26871.00,33605.00,3.00,5.50,13.30,10.70,25.20,23.20,19.10,21.10
"083 Oldcourt, Co. Wexford",29140.00,40911.00,5.30,7.10,17.00,10.60,17.30,25.00,17.70,8.00
"084 Old Ross, Co. Wexford",31034.00,32360.00,9.10,11.40,10.10,9.30,11.30,32.50,16.20,12.90
"085 Rathroe, Co. Wexford",26000.00,44291.00,14.10,11.90,12.90,13.30,7.70,26.20,13.80,11.70
"086 Rochestown, Co. Wexford",25338.00,37388.00,11.30,5.40,11.00,1.40,16.30,30.80,23.90,5.00
"087 Templeludigan, Co. Wexford",29701.00,43088.00,12.50,5.70,8.90,9.40,15.60,32.50,15.30,9.20
"088 Templetown, Co. Wexford",23752.00,38793.00,13.20,15.70,7.50,10.50,12.10,23.20,17.80,14.60
"089 Tintern, Co. Wexford",24662.00,36277.00,9.50,12.70,11.30,8.50,12.40,29.90,15.60,19.90
"090 Whitechurch, Co. Wexford",26840.00,34899.00,8.90,9.30,13.30,8.90,15.40,21.90,22.30,7.40
"091 Whitemoor, Co. Wexford",28579.00,36367.00,11.20,8.90,9.50,6.50,13.10,33.00,17.70,11.80
"092 Ardcavan, Co. Wexford",27920.00,42281.00,2.80,5.50,15.80,9.60,11.50,33.00,22.00,14.80
"093 Ardcolm, Co. Wexford",25811.00,32515.00,7.60,8.80,13.30,8.30,12.80,32.60,16.60,14.70
"094 Artramon, Co. Wexford",32200.00,47307.00,11.30,6.30,10.50,8.90,10.20,36.70,16.00,9.50
"095 Aughwilliam, Co. Wexford",28586.00,42984.00,6.90,7.20,6.70,8.10,18.00,33.20,19.90,8.60
"096 Ballymitty, Co. Wexford",27060.00,32000.00,10.60,14.50,10.80,8.70,13.60,22.80,19.10,15.70
"097 Bannow, Co. Wexford",24881.00,34460.00,12.10,12.80,9.50,7.30,13.90,26.90,17.50,18.30
"098 Bridgetown, Co. Wexford",32014.00,31962.00,7.00,7.20,15.10,11.50,13.20,28.60,17.30,10.00
"099 Carrick, Co. Wexford",35794.00,43886.00,1.50,4.50,12.70,9.50,11.00,46.20,14.60,4.70
"100 Drinagh, Co. Wexford",28732.00,41033.00,3.10,7.20,14.80,9.60,12.20,35.70,17.40,13.40
"101 Duncormick, Co. Wexford",24852.00,26079.00,9.60,11.40,11.70,13.60,17.00,20.20,16.60,17.70
"102 Forth, Co. Wexford",31751.00,41046.00,5.90,9.50,13.70,7.80,13.30,33.80,16.00,15.10
"103 Glynn, Co. Wexford",NA,NA,6.20,6.40,10.40,11.20,11.10,38.10,16.50,9.70
"104 Harperstown, Co. Wexford",25156.00,34529.00,6.50,9.40,12.10,11.60,12.40,24.70,23.40,10.00
"105 Harristown, Co. Wexford",27105.00,38964.00,10.40,14.70,9.00,8.00,14.60,25.00,18.40,13.00
"106 Kilbride, Co. Wexford",NA,NA,9.70,11.60,11.20,7.30,13.60,31.20,15.40,9.00
"107 Kilcowan, Co. Wexford",24049.00,41945.00,7.40,9.80,12.00,11.10,18.20,23.10,18.50,12.60
"108 Killag, Co. Wexford",25956.00,38621.00,12.00,3.70,13.70,9.70,19.60,23.30,18.00,14.80
"109 Killinick, Co. Wexford",32393.00,37653.00,6.80,5.80,19.50,7.90,8.30,30.00,21.80,9.40
"110 Killurin, Co. Wexford",32793.00,44024.00,6.10,5.90,6.10,8.00,12.40,36.60,24.90,9.40
"111 Kilmore, Co. Wexford",25899.00,37536.00,13.00,5.90,9.90,6.10,19.90,23.60,21.70,19.80
"112 Kilpatrick, Co. Wexford",36553.00,43901.00,5.30,5.00,12.30,10.30,14.60,33.90,18.60,6.80
"113 Kilscoran, Co. Wexford",24243.00,42426.00,9.00,7.10,11.70,7.70,13.10,24.60,26.70,16.90
"114 Lady's Island, Co. Wexford",19443.00,26891.00,9.90,6.20,12.60,6.60,12.80,21.50,30.40,18.30
"115 Mayglass, Co. Wexford",32605.00,37331.00,5.90,5.90,12.00,11.20,14.20,33.40,17.40,13.50
"116 Newcastle, Co. Wexford",27371.00,33504.00,3.80,9.90,10.00,7.70,17.50,30.60,20.50,10.30
"117 Rathaspick, Co. Wexford",34150.00,45745.00,3.50,6.60,10.80,10.10,14.30,34.70,19.90,12.70
"118 Rosslare, Co. Wexford",23141.00,44322.00,2.60,6.00,15.10,11.70,8.70,21.70,34.30,16.00
"119 St. Helen's, Co. Wexford",25440.00,37758.00,2.90,4.80,17.10,6.70,8.10,26.70,33.70,16.70
"120 Tacumshin, Co. Wexford",29729.00,33811.00,9.60,7.50,13.20,8.40,10.00,30.10,21.20,12.40
"121 Taghmon, Co. Wexford",21886.00,35475.00,10.70,13.90,10.70,8.40,17.00,20.90,18.40,27.70
"122 Tomhaggard, Co. Wexford",27437.00,32403.00,10.70,11.50,12.80,7.60,15.70,20.90,20.70,13.20
"123 Wexford Rural (Part Urban), Co. Wexford",26012.00,36432.00,0.70,5.10,14.60,7.80,14.50,36.00,21.40,17.00
"124 Whitechurch, Co. Wexford",26769.00,34405.00,14.10,8.80,9.30,9.30,12.00,26.60,20.00,12.80
